Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Density,ZIP
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5,0.195263421,1211600,57.11757781,16,0.22,0.021320467,94928
15,0.114409822,994500,98.41591895,11,0.2025,0.007031053,91761
14.7,0.138950817,2625900,98.41591895,8,0.2275,0.015706776,90501
14.7,0.138950817,2625900,98.41591895,8,0.2275,0.015706776,90501
14.7,0.114409822,3081800,98.41591895,7,0.2275,0.015706776,90504
11.12,0.154836621,164200,6.087859819,6,0.22,0.014921353,93243
11.12,0.154836621,58400,1.394808878,4,0.1975,0.003286873,93561
7.5,0.147459069,259050,3.366540988,3,0.2025,0.008204125,92539
20.64,0.178916986,497000,21.08842976,7,0.2075,0.009549828,96161
12.38,0.195263421,346800,4.185525878,6,0.2125,0.007276522,93930
12.38,0.195263421,346800,4.185525878,6,0.2125,0.007276522,93930
9.9,0.177942714,605100,8.439481531,8,0.215,0.00642031,95242
9.9,0.177942714,605100,8.439481531,8,0.215,0.00642031,95242
12.38,0.177718716,272400,8.439481531,3,0.2075,0.00642031,95304
12.38,0.177718716,272400,8.439481531,3,0.2075,0.00642031,95304
11.12,0.138950817,871900,98.41591895,6,0.22,0.015706776,91321
8.76,0.114409822,209800,3.366540988,6,0.2025,0.008204125,92223
8.76,0.114409822,209800,3.366540988,6,0.2025,0.008204125,92223
6,0.147459069,494500,3.366540988,19,0.2125,0.008204125,92562
6,0.147459069,494500,3.366540988,19,0.2125,0.008204125,92562
6,0.147459069,494500,3.366540988,19,0.2125,0.008204125,92562
12.38,0.195263421,1313600,125.2839303,11,0.2175,0.007276522,93933
12.38,0.195263421,1313600,125.2839303,11,0.2175,0.007276522,93933
12.38,0.195263421,1313600,125.2839303,11,0.2175,0.007276522,93933
8.76,0.145736987,333800,3.606238302,5,0.2125,0.009306481,95815
8.76,0.145736987,333800,3.606238302,5,0.2125,0.009306481,95815
8.76,0.145736987,333800,3.606238302,5,0.2125,0.009306481,95815
12.38,0.195263421,735600,17.01596331,8,0.2175,0.010597553,95023
12.38,0.195263421,735600,17.01596331,8,0.2175,0.010597553,95023
9.24,0.195263421,113100,1.460718582,3,0.2085,0.005522624,93706
12.38,0.177942714,605100,8.439481531,8,0.215,0.00642031,95242
9.9,0.178916986,600800,21.08842976,8,0.2125,0.013857474,96150
11.12,0.125722524,791600,98.41591895,8,0.2125,0.008204125,92879
12.38,0.195263421,552300,82.13388047,3,0.20625,0.010812813,95688
12.38,0.195263421,552300,82.13388047,3,0.20625,0.010812813,95688
14.24,0.17875461,527800,13.2341449,8,0.2125,0.012749926,95691
14.24,0.17875461,527800,13.2341449,8,0.2125,0.012749926,95691
14.24,0.17875461,527800,13.2341449,8,0.2125,0.012749926,95691
12.38,0.154836621,143800,6.087859819,3,0.2075,0.003286873,93307
12.38,0.154836621,143800,6.087859819,3,0.2075,0.003286873,93307
13.8,0.138950817,2750600,98.41591895,4,0.2275,0.015706776,91801
9.8,0.138950817,2750600,98.41591895,4,0.2275,0.015706776,91801
8.24,0.114409822,1595000,98.41591895,9,0.2275,0.023477819,90631
8.24,0.114409822,2047800,98.41591895,2,0.2125,0.023477819,92844
8.24,0.188032807,2507600,98.41591895,6,0.2275,0.015706776,90016
8.24,0.137173751,2042100,98.41591895,2,0.2125,0.023477819,90680
5.26,0.195263421,4145300,125.2839303,4,0.21875,0.042417775,95118
8.24,0.114409822,278000,3.366540988,16,0.2125,0.007031053,92407
8.24,0.114409822,362300,3.366540988,36,0.2125,0.007031053,92346
7.24,0.133747197,358000,3.366540988,2,0.2125,0.008204125,92508
7.24,0.133747197,460400,3.366540988,3,0.2125,0.008204125,92506
7.24,0.133747197,460400,3.366540988,3,0.2125,0.008204125,92506
7.24,0.133747197,358000,3.366540988,2,0.2125,0.008204125,92508
14.62,0.195263421,346800,4.185525878,6,0.2125,0.007276522,93930
14.62,0.195263421,1107300,125.2839303,20,0.21625,0.042417775,95020
12.38,0.195263421,439500,0.554199683,13,0.21,0.01155003,95521
12.38,0.195263421,439500,0.554199683,13,0.21,0.01155003,95521
8.76,0.114409822,4635200,98.41591895,14,0.2025,0.023477819,92606
8.76,0.114409822,4635200,98.41591895,14,0.2025,0.023477819,92606
12.5,0.195263421,722800,82.13388047,2,0.21,0.021320467,95442
11.12,0.138950817,202650,0.088045744,3,0.2025,0.003286873,93527
11.12,0.114409822,42500,1.394808878,7,0.1975,0.003286873,93501
11.12,0.114409822,42500,1.394808878,7,0.1975,0.003286873,93501
11.12,0.114409822,42500,1.394808878,7,0.1975,0.003286873,93501
11.12,0.114409822,42500,1.394808878,7,0.1975,0.003286873,93501
8.5,0.195263421,238300,3.606238302,16,0.1975,0.014130337,95603
12.5,0.195263421,2343800,125.2839303,4,0.2175,0.007276522,93953
9.9,0.17875461,721100,3.606238302,41,0.2025,0.009306481,95630
9.9,0.17875461,721100,3.606238302,41,0.2025,0.009306481,95630
6.6,0.114409822,8434900,98.41591895,36,0.2275,0.015706776,90803
6.6,0.114409822,8434900,98.41591895,36,0.2275,0.015706776,90803
