,ZIP,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
290,64093.0,0.085941032,57400.0,2.698384115,8.0,0.09475,4.574999999999999
291,64108.0,0.101352042,335500.0,39.08764145,73.0,0.1085,4.620000000000001
292,64110.0,0.101352042,238300.0,39.08764145,7.0,0.1035,4.755
293,64111.0,0.101352042,353700.0,39.08764145,31.0,0.1085,4.755
294,64112.0,0.101352042,566800.0,39.08764145,16.0,0.1085,4.755
295,64114.0,0.101352042,175500.0,39.08764145,9.0,0.1035,4.755
296,64116.0,0.101352042,110400.0,39.08764145,21.0,0.0985,4.9125
297,64118.0,0.101352042,82800.0,39.08764145,14.0,0.10475,4.574999999999999
298,64119.0,0.101352042,92200.0,39.08764145,14.0,0.09725,4.574999999999999
299,64127.0,0.101352042,53300.0,39.08764145,12.0,0.0985,4.755
300,64129.0,0.108426968,38000.0,2.698384115,11.0,0.0885,4.755
301,64131.0,0.101352042,121300.0,39.08764145,8.0,0.0985,4.755
302,64132.0,0.101352042,39200.0,39.08764145,17.0,0.0885,4.755
303,64133.0,0.10157406966666667,53100.0,2.698384115,6.0,0.0985,4.755
304,64139.0,0.0946101575,98200.0,2.698384115,6.0,0.0885,4.755
305,64150.0,0.101352042,95900.0,39.08764145,14.0,0.0885,4.455
306,64153.0,0.09977058300000001,127300.0,39.08764145,35.0,0.0985,4.755
307,64154.0,0.09457718600000001,156100.0,39.08764145,11.0,0.0985,4.755
308,64156.0,0.09681349033333335,151700.0,39.08764145,3.0,0.0885,4.74
309,64468.0,0.087868273,54700.0,1.604917942,6.0,0.09475,4.5
310,64501.0,0.087868273,60900.0,1.604917942,15.0,0.107,4.574999999999999
311,64503.0,0.087868273,54700.0,1.604917942,9.0,0.102,4.574999999999999
312,64505.0,0.087868273,52000.0,1.604917942,3.0,0.102,3.96
313,64506.0,0.087868273,89600.0,1.604917942,7.0,0.102,4.574999999999999
314,64507.0,0.087868273,47600.0,1.604917942,9.0,0.092,4.574999999999999
315,64735.0,0.10225883475,33200.0,3.865683942,6.0,0.08175,4.485
316,64772.0,0.1011493145,18000.0,3.865683942,3.0,0.08225,4.5
317,64804.0,0.11064051899999999,37000.0,6.247755413,8.0,0.09975,2.67
318,64850.0,0.11064051899999999,19400.0,11.15098608,1.0,0.1035,2.67
319,65301.0,0.0954978135,38500.0,3.183764574,9.0,0.09225,4.485
320,65616.0,0.107433356,43900.0,3.999593855,7.0,0.1035,2.67
321,65721.0,0.09707606825000001,52200.0,3.999593855,1.0,0.1035,2.67
322,66061.0,0.1016375105,163800.0,39.08764145,13.0,0.11475,4.545
323,66062.0,0.1016375105,178700.0,39.08764145,28.0,0.10475,4.548
324,66202.0,0.10581221900000001,163200.0,39.08764145,22.0,0.10725,4.523999999999999
325,66203.0,0.10581221900000001,124700.0,39.08764145,7.0,0.09725,4.545
326,66204.0,0.10398959,152200.0,39.08764145,10.0,0.101,4.484999999999999
327,66205.0,0.10581221900000001,402300.0,39.08764145,9.0,0.11475,4.574999999999999
328,66209.0,0.10398959,271900.0,39.08764145,15.0,0.101,4.4399999999999995
329,66210.0,0.10398959,201700.0,39.08764145,41.0,0.0935,4.439999999999999
330,66211.0,0.10398959,350200.0,39.08764145,36.0,0.101,4.477499999999999
331,66212.0,0.10398959,167900.0,39.08764145,8.0,0.101,4.4399999999999995
332,66213.0,0.10398959,218200.0,39.08764145,23.0,0.101,4.4399999999999995
333,66214.0,0.10398959,182000.0,39.08764145,9.0,0.111,4.47
334,66215.0,0.10398959,183800.0,39.08764145,6.0,0.1035,4.53
335,66217.0,0.103636623,250700.0,39.08764145,6.0,0.096,4.545
336,66219.0,0.10398959,213200.0,39.08764145,24.0,0.1035,4.53
337,66223.0,0.10398959,239200.0,39.08764145,10.0,0.106,4.4399999999999995
338,66227.0,0.1016375105,172400.0,39.08764145,4.0,0.096,4.53
339,68028.0,0.08295205,115100.0,15.6364057,2.0,0.075,1.5
340,68064.0,0.08295205,169500.0,15.6364057,1.0,0.07,1.0
341,68434.0,0.08876189899999999,117400.0,19.61490511,3.0,0.07,2.0
342,68850.0,0.100955744,34500.0,0.480526675,2.0,0.07,2.0
343,72205.0,0.0864881,237300.0,3.840611276,3.0,0.08625,1.0
344,72209.0,0.0930483295,42200.0,3.840611276,4.0,0.08625,2.4749999999999996
345,76177.0,0.09436902750000001,230000.0,38.99804321,7.0,0.0825,3.0
346,78613.0,0.099329449,242100.0,18.95106669,10.0,0.0825,7.5
347,78636.0,0.09298018699999999,61000.0,50.9612937,2.0,0.0825,3.0
348,78640.0,0.0821948975,70500.0,50.9612937,6.0,0.0825,6.0
349,78641.0,0.1023058505,156900.0,18.95106669,5.0,0.0825,6.0
350,78654.0,0.10228134566666668,105900.0,18.95106669,2.0,0.0825,2.31
351,78665.0,0.120883663,210500.0,18.95106669,6.0,0.0825,6.0
352,78702.0,0.093376646,1509600.0,50.9612937,31.0,0.0825,6.0
353,78704.0,0.093376646,1839600.0,50.9612937,21.0,0.0825,6.0
354,78726.0,0.099329449,332400.0,50.9612937,3.0,0.0825,6.0
355,78727.0,0.10713015449999999,375300.0,50.9612937,4.0,0.0825,6.0
356,78729.0,0.10713015449999999,293800.0,50.9612937,6.0,0.0825,6.0
357,78738.0,0.088552342,326500.0,50.9612937,5.0,0.0825,6.0
